phenotype,PBW_kg,VT_ml_per_kg,VT_ml,RR_min,Ti_s,waveform,pause_fraction,PEEP_cmH2O,C_total_L_per_cmH2O,R_equivalent_cmH2O_s_per_L,global_energy_J,MP_J_min,EII,DCES,Ppeak_cmH2O,Pplat_cmH2O,driving_pressure_cmH2O,minute_ventilation_L_min,end_inspiratory_volume_L,REF_1,comp_energy_J_1,REF_2,comp_energy_J_2,REF_3,comp_energy_J_3,REF_4,comp_energy_J_4,REF_5,comp_energy_J_5,REF_6,comp_energy_J_6,analysis_name,MV_min_L_min,MV_max_L_min,MP_J_min_norm,EII_norm,DCES_norm,balanced_score,pareto_optimal
compliance_dominant,70,4,280.0,15,0.6,square,0.0,5.0,0.039999999999999994,8.000000000000002,0.20545114170559411,3.081767125583912,0.22929453213988787,0.2151096860890283,16.092538735032853,16.092538735032853,11.092538735032853,4.2,0.28000000000000014,0.10337424598604485,0.021238356860787858,0.1357038785667673,0.02788051678541966,0.16194039032964713,0.03327083808147558,0.18322077168494794,0.03764291672685257,0.2006510273435644,0.04122398265213572,0.2151096860890283,0.04419453059892285,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.051088549137865265,0.09273401392719928,0.03077412307250269,0.17459668613756724,True
compliance_dominant,70,4,280.0,15,0.6,square,0.1,5.0,0.039999999999999994,8.000000000000002,0.21720475570633305,3.2580713355949955,0.22738989908109353,0.21573691511878434,16.53486679311218,12.326673139646132,7.326673139646132,4.2,0.2800000000000001,0.1046845249972415,0.023007650998645934,0.13598011020096346,0.02988582045286656,0.16079000883672412,0.035338560379215796,0.1822410819982301,0.04005309488046472,0.2005673588480565,0.04408085907843458,0.21573691511878434,0.04741483663137685,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.06038739700546667,0.07674496752408132,0.04954574388245162,0.1866781084119996,True
compliance_dominant,70,4,280.0,15,0.6,square,0.2,5.0,0.039999999999999994,8.000000000000002,0.23183854385811425,3.4775781578717138,0.22238516846596004,0.2155025017042513,17.08447665437223,12.278655110471355,7.278655110471355,4.2,0.2800000000000002,0.10664270034427976,0.025256209836064355,0.1367623103868657,0.03238944248077565,0.1600230266727074,0.03789828208776043,0.1811290284157768,0.04289682026339182,0.19994043247611915,0.047351928458563126,0.2155025017042513,0.05103749610304512,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.0719648888085467,0.03473116876584256,0.04253025269561827,0.14922631027000755,True
compliance_dominant,70,4,280.0,15,0.6,decelerating,0.0,5.0,0.039999999999999994,8.000000000000002,0.21425261712432536,3.2137892568648803,0.24739873405500232,0.21926900176851652,14.18331200547958,14.168673491103373,9.168673491103373,4.2,0.2800000000000001,0.09877780266693204,0.02116340273518037,0.13299167914630491,0.028493815312854415,0.16122304079441044,0.034542458430944334,0.1843424032282455,0.039495842338639314,0.20339607239559057,0.043578140823564065,0.21926900176851652,0.04697895748314303,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.05805181855645174,0.24471547995059115,0.15525352861691136,0.4580208271239542,False
compliance_dominant,70,4,280.0,15,0.6,decelerating,0.1,5.0,0.039999999999999994,8.000000000000002,0.22696087362731282,3.4044131044096924,0.24184203042955807,0.218841289686959,14.456689169370573,12.272814056851606,7.272814056851606,4.2,0.27999999999999997,0.10073892327543661,0.02307961884982534,0.13392133415325516,0.030681818383807125,0.16060485847811232,0.03679510162095196,0.18322629132316437,0.04197774633190674,0.2026673030830726,0.04643174610562737,0.218841289686959,0.05013725966446545,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.0681059299026562,0.19806796865944376,0.14245302253390318,0.4086269210960031,False
compliance_dominant,70,4,280.0,15,0.6,decelerating,0.2,5.0,0.039999999999999994,8.000000000000002,0.24278910349197616,3.6418365523796425,0.2334965805040097,0.21768172077371256,14.824972236745097,12.237817513566245,7.237817513566245,4.2,0.28000000000000014,0.10333635040539306,0.025526608378384465,0.13527604282119784,0.03341649433647956,0.16023476512352983,0.03958190977196825,0.1819920671776295,0.04495649603059266,0.2014790536985372,0.04977025877180233,0.21768172077371256,0.05377271420486899,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.08062840184325903,0.12800944190103683,0.10774960972959904,0.3163874534738949,False
compliance_dominant,70,4,280.0,15,0.6,sinusoidal,0.0,5.0,0.039999999999999994,8.000000000000002,0.23085694682205973,3.462854202330896,0.23341762519119438,0.2157611440567546,15.766270635612807,12.347673471256652,7.347673471256652,4.2,0.2800000000000002,0.10221088417147293,0.023708223825563948,0.1350772251134891,0.031331703200552966,0.16186051863007384,0.0375441953693096,0.1837293402659763,0.0426167561082961,0.20136088776223335,0.04670646414497691,0.2157611440567546,0.050046661249653575,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.07118830030521611,0.12734662648126457,0.05027086407719468,0.24880579086367538,False
compliance_dominant,70,4,280.0,15,0.6,sinusoidal,0.1,5.0,0.039999999999999994,8.000000000000002,0.24534751690525372,3.6802127535788056,0.22715713486696804,0.21528318011315717,16.352895436260937,12.30045278107194,7.3004527810719395,4.2,0.28000000000000014,0.10446759722446256,0.02599220850441497,0.1360359317906826,0.0338466127022956,0.16114962890424583,0.040095061685858586,0.18251688182739276,0.04541137131583593,0.20054678014005908,0.04989732570463358,0.21528318011315717,0.053563836573857715,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.08265248542393498,0.07479095449072903,0.03596642744496748,0.1934098673596315,True
compliance_dominant,70,4,280.0,15,0.6,sinusoidal,0.2,5.0,0.039999999999999994,8.000000000000002,0.2634116212149697,3.9511743182245453,0.21824795286634244,0.21408140922621588,17.099569489071452,12.261068620199342,7.261068620199342,4.2,0.2800000000000001,0.10731659429584425,0.02888372677838547,0.1373989428586608,0.036980241044811436,0.16069868712880112,0.043251251152062346,0.18121514008687217,0.04877315226708376,0.19928922640360586,0.053637702566754486,0.21408140922621588,0.057618944889133515,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.09694386489496166,0.0,0.0,0.09694386489496166,True
compliance_dominant,70,4,280.0,15,1.0,square,0.0,5.0,0.039999999999999994,8.000000000000002,0.16266494800257975,2.439974220038696,0.27792206559234295,0.22873243831944348,14.477719649128044,14.477719649128044,9.477719649128044,4.2,0.28000000000000014,0.09349083835775676,0.015207682360182087,0.1273297137326569,0.02071208126350599,0.15774023322964287,0.02565880683621465,0.18458682646605648,0.03002580652906228,0.2081199498944435,0.03385382082787914,0.22873243831944348,0.03720675018573554,sensitivity_MV_4_to_12_L_min,4.0,12.0,0.017238338806554097,0.500953269206033,0.43847390596791974,0.9566655139805069,True
